generation,best_fitness,mean_fitness,best_escape_rate,mean_escape_rate,detector_recall,retrained
0,1.5758326575187422,0.2029024328475011,1.0,0.1028948345724241,0.25,False
1,1.5097596396965234,0.3757104297083084,1.0,0.2058527452297433,0.7837837837837838,False
2,1.8878811374478075,0.8314339973007965,1.0,0.3324992951155835,0.5625,False
3,2.0641952430501287,1.0406206424653326,1.0,0.457212077814625,0.6274509803921569,False
4,1.7970965527036236,1.0942137667689007,1.0,0.45070527389214343,0.6470588235294118,True
5,0.4304013866293199,0.08287973182579123,0.23529411764705888,0.03337765733252549,0.7450980392156863,False
6,0.6595610741714943,0.13048311140693553,0.7068965517241379,0.2447110789663168,0.29310344827586204,False
7,2.0545414374027566,0.9093960962093398,0.8275862068965517,0.3254067459764488,0.8823529411764706,False
8,2.1404908915347325,1.1388306663463479,1.0,0.5428637730022111,0.0,False
9,5.6766682759506795,3.4310359635021754,1.0,0.9378954914254104,0.23529411764705882,True
10,2.0539945129187482,0.5206102903720883,0.38,0.11602243974372191,0.72,False
11,2.3103165342412186,0.8078923338578317,0.9545454545454546,0.21049146980447692,0.18181818181818182,False
12,2.422327743571674,0.9888107217499309,1.0,0.4357942385481685,0.3181818181818182,False
13,2.401217881766292,1.1170362728665966,0.7575757575757576,0.1611830055668798,0.9545454545454546,False
14,1.1611359513274266,0.31167605251630126,0.7727272727272727,0.12642602495543673,0.22727272727272727,True
15,1.692437723041972,0.5846966737985596,0.9545454545454546,0.3123917630923843,0.15151515151515152,False
16,1.8754435624709835,0.7811175929951111,1.0,0.36287954185317267,0.10344827586206896,False
17,1.9631953013578072,0.7462873939244856,1.0,0.3287119587646971,0.15151515151515152,False
18,2.0054004777184096,0.9293216213429047,1.0,0.417501628864712,0.0,False
19,1.93670301078269,0.8240146814454615,1.0,0.36296895937058204,0.09090909090909091,True
